external_id,rating,final_sentiment,original_text,cleaned_text,text_indobert,preprocessing_status,drop_reason,text_length_before,text_length_after,alphabet_char_count,digit_char_count,symbol_char_count,token_count,morse_char_ratio,symbol_char_ratio,digit_char_ratio
f4a4d23f-41cb-4a31-bff1-82de8a1b1b9f,1,Negative,👎,👎,👎,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
4dbff167-e1a0-4c73-a36f-ce5627306fb9,1,Negative,★★★★★,★★★★★,★★★★★,dropped,too_short_after_cleaning,5,5,0,0,5,0,0.0,1.0,0.0
274223af-e2bb-41fb-acf2-9206baaff8f0,1,Negative,👏🏽👍🏽,👏🏽👍🏽,👏🏽👍🏽,dropped,too_short_after_cleaning,4,4,0,0,4,0,0.0,1.0,0.0
e8488a0e-7437-4fd3-b907-a224dce7bb25,1,Negative,👎,👎,👎,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
5fbd3487-4c32-4b68-8c41-163efa683124,1,Negative,👎,👎,👎,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
52d3ec4f-ad8c-41ab-b47f-b183ba38f401,1,Negative,👍👍,👍👍,👍👍,dropped,too_short_after_cleaning,2,2,0,0,2,0,0.0,1.0,0.0
6da1f503-7e76-4340-94e7-a8ffa1c27d93,1,Negative,jelek banget!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!! HARUS BANGET IKALN,jelek banget!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!! HARUS BANGET IKALN,jelek banget!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!! HARUS BANGET IKALN,dropped,high_symbol_ratio,63,63,27,0,32,5,0.0,0.542373,0.0
710851b3-cbfe-439c-840a-b2eec4d0b823,1,Negative,😭😭,😭😭,😭😭,dropped,too_short_after_cleaning,2,2,0,0,2,0,0.0,1.0,0.0
37a6a86f-78f9-4c9e-9d01-41710ac92b26,1,Negative,🙏,🙏,🙏,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
883837e1-753b-4101-94ae-5f5685adcebc,1,Negative,🤢,🤢,🤢,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
55dcc8fb-6eb2-46f1-b2e6-5a83a806d1f2,1,Negative,😢😢😢,😢😢😢,😢😢😢,dropped,too_short_after_cleaning,3,3,0,0,3,0,0.0,1.0,0.0
ae2c7b1e-14c0-437a-9995-525bafe31358,1,Negative,👍🏻,👍🏻,👍🏻,dropped,too_short_after_cleaning,2,2,0,0,2,0,0.0,1.0,0.0
f1875b21-c100-4ec6-860b-dca462cf35cf,1,Negative,👍🏽,👍🏽,👍🏽,dropped,too_short_after_cleaning,2,2,0,0,2,0,0.0,1.0,0.0
c568d374-a41e-4888-ba07-8ac4e5f23131,1,Negative,👎,👎,👎,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
9ba712e0-6b30-42e1-a43c-e9f4454caa1f,1,Negative,👎👎,👎👎,👎👎,dropped,too_short_after_cleaning,2,2,0,0,2,0,0.0,1.0,0.0
69421436-b412-430d-aa85-3a90d291ba50,1,Negative,👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,dropped,high_symbol_ratio,18,18,0,0,18,0,0.0,1.0,0.0
f4f4c58d-d340-49e3-9263-f99b6da212c0,1,Negative,💔💔💔,💔💔💔,💔💔💔,dropped,too_short_after_cleaning,3,3,0,0,3,0,0.0,1.0,0.0
e740809c-4341-4455-8af3-efdfe94b34cc,1,Negative,🍉🍉🍉,🍉🍉🍉,🍉🍉🍉,dropped,too_short_after_cleaning,3,3,0,0,3,0,0.0,1.0,0.0
7c74e412-5694-43d9-a469-1d7cf66e1850,1,Negative,👎🏿,👎🏿,👎🏿,dropped,too_short_after_cleaning,2,2,0,0,2,0,0.0,1.0,0.0
3e7e6bc2-3e4d-47da-99ee-b6eb9f199da8,1,Negative,🤪,🤪,🤪,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
dd842823-7840-4b34-b9fe-daebc4679ddd,1,Negative,🍉,🍉,🍉,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
1ffa85fe-47a0-4f7b-acd9-0c5ce482e5f9,1,Negative,🍉,🍉,🍉,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
0ba169ef-2019-4d15-a805-e702d535d9f4,1,Negative,💔,💔,💔,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
180d9c85-3577-4c7f-a7e1-ee9bfaebfe48,1,Negative,🇸🇩🇸🇩🇸🇩🇸🇩🇸🇩,🇸🇩🇸🇩🇸🇩🇸🇩🇸🇩,🇸🇩🇸🇩🇸🇩🇸🇩🇸🇩,dropped,high_symbol_ratio,10,10,0,0,10,0,0.0,1.0,0.0
f95847fb-4390-415f-86c6-d8637d08544a,1,Negative,🔥,🔥,🔥,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
a8af1a71-fd3b-4c12-a20b-e08f86fa322c,1,Negative,🐷🐽,🐷🐽,🐷🐽,dropped,too_short_after_cleaning,2,2,0,0,2,0,0.0,1.0,0.0
5d3c7061-1376-40d0-a589-cc0f5341529f,1,Negative,🗿,🗿,🗿,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
8aaaf214-5ba7-4ac6-8d6d-31c298b044b8,1,Negative,🤮,🤮,🤮,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
e3bd33e2-96ab-44e1-a854-0ea02d8aa259,1,Negative,👎,👎,👎,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
8ed7519a-9be9-45a7-b38b-569fe7b1f43f,1,Negative,👎🏽👎🏽,👎🏽👎🏽,👎🏽👎🏽,dropped,too_short_after_cleaning,4,4,0,0,4,0,0.0,1.0,0.0
d62562fa-fc87-40d6-994b-a2e5e8ddd2d5,1,Negative,🍉🍉🍉🍉🍉,🍉🍉🍉🍉🍉,🍉🍉🍉🍉🍉,dropped,too_short_after_cleaning,5,5,0,0,5,0,0.0,1.0,0.0
c3ac2dd1-344c-4370-a76b-4b63eaa84524,1,Negative,f.,f.,f.,dropped,too_few_alphabet_chars,2,2,1,0,1,1,0.5,0.5,0.0
ade09215-4988-4b17-be4b-f803ce154ab9,1,Negative,💩,💩,💩,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
92169d01-dc9e-4066-9e95-b19d130674d6,1,Negative,👎👎👎,👎👎👎,👎👎👎,dropped,too_short_after_cleaning,3,3,0,0,3,0,0.0,1.0,0.0
04f36089-4325-4468-a25b-43390728d228,1,Negative,😡,😡,😡,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
e07c0c35-a2f8-4949-ab60-0d60cf4610cd,1,Negative,kenapa sih pas mau download lagu harus bayar ☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️,kenapa sih pas mau download lagu harus bayar ☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️,kenapa sih pas mau download lagu harus bayar ☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️,dropped,high_symbol_ratio,151,151,37,0,106,8,0.0,0.741259,0.0
ecb77623-7326-4776-9e6c-5590796c80cd,1,Negative,sampah 🫵🫵🫵🤣🤣🤣👎👎👎🐒🐒🐒🐒,sampah 🫵🫵🫵🤣🤣🤣👎👎👎🐒🐒🐒🐒,sampah 🫵🫵🫵🤣🤣🤣👎👎👎🐒🐒🐒🐒,dropped,high_symbol_ratio,20,20,6,0,13,1,0.0,0.684211,0.0
ba323ef6-ce4e-4be9-b757-8e4aae62f019,1,Negative,👎,👎,👎,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
3d1bc68e-726e-445b-9073-84d12cd8cf85,1,Negative,😂,😂,😂,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
781427a3-047f-47e6-aad7-f681066025b5,1,Negative,🥀,🥀,🥀,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
09d737f0-ae77-4b92-913c-f2427d17e47b,1,Negative,😒,😒,😒,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
23585f6b-ed85-4209-81f6-479fc3c16bdf,1,Negative,👎🏻,👎🏻,👎🏻,dropped,too_short_after_cleaning,2,2,0,0,2,0,0.0,1.0,0.0
b7203101-823f-4b43-8837-8fd48fc9f0e2,1,Negative,hp ku ngelag🤬🤬😡🤬🤬😡😡😡😡🤬,hp ku ngelag🤬🤬😡🤬🤬😡😡😡😡🤬,hp ku ngelag🤬🤬😡🤬🤬😡😡😡😡🤬,dropped,high_symbol_ratio,22,22,10,0,10,3,0.0,0.5,0.0
fc789e8c-6631-4b56-b159-dfc160bbe5c4,1,Negative,susah bikin pasword nya dan kata sandi nya ini aplikasi kasi xxxxxxxxxxxxxxxx,susah bikin pasword nya dan kata sandi nya ini aplikasi kasi xxxxxxxxxxxxxxxx,susah bikin pasword nya dan kata sandi nya ini aplikasi kasi xxxxxxxxxxxxxxxx,dropped,repeated_garbage_pattern,77,77,66,0,0,12,0.0,0.0,0.0
a2946642-6a3c-4bcf-b4c1-2bb08fe2269b,1,Negative,bug!!! bug!!! bug!!!,bug!!! bug!!! bug!!!,bug!!! bug!!! bug!!!,dropped,high_symbol_ratio,20,20,9,0,9,3,0.0,0.5,0.0
0d38dd4a-849d-497b-8189-c8bd36189adc,1,Negative,🤐,🤐,🤐,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
6c8a542f-2358-4e81-ad7a-a0636eee16da,1,Negative,👍,👍,👍,dropped,too_short_after_cleaning,1,1,0,0,1,0,0.0,1.0,0.0
a17eccda-57e0-4167-ae4e-d6bb9b9bc50b,1,Negative,💥🌸🐹,💥🌸🐹,💥🌸🐹,dropped,too_short_after_cleaning,3,3,0,0,3,0,0.0,1.0,0.0
